term,term_name
CHELSA_bio1,mean annual air temperature (°C)
CHELSA_bio2,mean diurnal air temperature range (°C)
CHELSA_bio3,isothermality (°C)
CHELSA_bio4,temperature seasonality (°C/100)
CHELSA_bio5,mean daily maximum air temperature of the warmest month (°C)
CHELSA_bio6,mean daily minimum air temperature of the coldest month (°C)
CHELSA_bio7,annual range of air temperature (°C)
CHELSA_bio8,mean daily mean air temperatures of the wettest quarter (°C)
CHELSA_bio9,mean daily mean air temperatures of the driest quarter (°C)
CHELSA_bio10,mean daily mean air temperatures of the warmest quarter (°C)
CHELSA_bio11,mean daily mean air temperatures of the coldest quarter (°C)
CHELSA_bio12,annual precipitation amount (kg m-2 year-1)
CHELSA_bio13,precipitation amount of the wettest month (kg m-2 month-1)
CHELSA_bio14,precipitation amount of the driest month (kg m-2 month-1)
CHELSA_bio15,precipitation seasonality (kg m-2)
CHELSA_bio16,mean monthly precipitation amount of the wettest quarter (kg m-2 month-1)
CHELSA_bio17,mean monthly precipitation amount of the driest quarter (kg m-2 month-1)
CHELSA_bio18,mean monthly precipitation amount of the warmest quarter (kg m-2 month-1)
CHELSA_bio19,mean monthly precipitation amount of the coldest quarter (kg m-2 month-1)
