"serial_number","treat","g","mod","max_GR","Estimate_k","Estimate_Tb","Estimate_Tc","Estimate_ThetaT","Estimate_To","Std. Error_k","Std. Error_Tb","Std. Error_Tc","Std. Error_ThetaT","Std. Error_To","t-value_k","t-value_Tb","t-value_Tc","t-value_ThetaT","t-value_To","p-value_k","p-value_Tb","p-value_Tc","p-value_ThetaT","p-value_To"
"1010271","COLD","50%","modGR_Ex",0.621392929854571,0.447084581832278,10.2396896641831,36.5501396108132,30.6511961094997,31.3,0.0985899177514038,0.416215005602692,0.29646321197762,1.30420119962196,NA,4.53479008836998,24.6019233481401,123.287268484335,23.5018922834792,NA,0.000201744664052788,0.000000000000000211277915788703,0.00000000000000000000000000000135348302677913,0.000000000000000465123518705336,NA
"1010271","NS","50%","modGR_Ex",0.291079274351516,-0.0406118957597502,20.0002809609205,38.4570616465473,13.0444540335419,28.3,0.0400422560009932,0.253821665428247,1.06804085164777,2.01803117093151,NA,-1.01422596565845,78.7965870729599,36.0071073940813,6.46395071663867,NA,0.322588369880745,0.000000000000000000000000010275153135612,0.0000000000000000000580819508830194,0.00000265182215434655,NA
"892915","COLD","50%","modGR_Ex",0.469286610377678,0.146171077309142,10.2163790752643,38.3423555909772,30.3179783303365,29.2,0.0470564279670331,0.874963029083459,0.644666440648193,4.04136882974105,NA,3.10629352086705,11.6763551552185,59.4762704762871,7.50190829087954,NA,0.00556487194149692,0.000000000220061326388684,0.00000000000000000000000278626002824042,0.000000310115650515186,NA
"892915","NS","50%","modGR_Ex",0.194042016722337,0.0239296053458902,21.0626842989917,37.8513133391257,23.851040642752,29.9,0.747227692611712,9.9051601856199,6.24979212402839,76.7970060134107,NA,0.0320245161983376,2.12643550475539,6.05641157145049,0.310572532457672,NA,0.974769940478464,0.0461074490952373,0.00000640138139448974,0.759339040227367,NA
"893048","COLD","50%","modGR_Ex",0.322891920042015,0.300409073201837,10.1668049369588,36.4148249394864,52.5017136741425,30,0.198673118593203,2.16241109050085,0.783333444991878,12.6589866233075,NA,1.51207710096374,4.70160599047055,46.4870039346577,4.14738677245122,NA,0.14615534541285,0.000136910378989904,0.000000000000000000000371917937689491,0.000498413564720651,NA
"893048","NS","50%","modGR_Ex",0.183025125983049,0.0183104663495983,22.0091402868499,34.9793421138003,18.7828279443549,28.7,0.556387281747602,6.34869427974283,0.165094732448003,46.2233904437356,NA,0.0329095702764547,3.46671918934194,211.874368098432,0.406348988337795,NA,0.974072923923846,0.00243564180238172,0.0000000000000000000000000000000000270304737349878,0.68880136720665,NA
"894492","COLD","50%","modGR_Ex",0.444758063333393,0.197053545897141,11.8218600472576,37.2436782686276,31.3177955144814,29.6,0.0835134793387991,0.966182892074498,0.651038256984615,5.11789809882781,NA,2.35954180639188,12.2356337958694,57.20658942706,6.1192690650981,NA,0.0255034711041844,0.000000000000940218285184803,0.000000000000000000000000000000750073191289607,0.00000132850977397777,NA
"894492","NS","50%","modGR_Ex",0.188709090559667,0.0228231989451908,23.1389458152135,37.336303037363,20.360314503854,30.5,1.18604499685703,5.81048350627835,8.59108207215376,74.7777498634831,NA,0.0192431138832601,3.98227544923092,4.3459371850702,0.272277710161439,NA,0.984783637501953,0.000440650036025199,0.000165183931566387,0.787406323583527,NA
"895732","COLD","50%","modGR_Ex",0.330265720465666,0.0447610611517861,9.67252916350969,40.0064073793082,31.1744712440765,27.1,0.0227253162530811,0.690969060900067,0.484360903288812,4.6770233006862,NA,1.9696562482697,13.9984982119317,82.5962770893865,6.66545134370031,NA,0.0588431942193321,0.0000000000000363332190888952,0.0000000000000000000000000000000000272082119566764,0.00000031145402576299,NA
"895732","NS","50%","modGR_Ex",0.186615610734775,0.0225187982302754,20.7950731305784,37.8056801357622,25.0176738176227,29.7,0.55960020432739,8.26144832958771,4.51642396129495,63.1457315089086,NA,0.0402408684917151,2.51712197437615,8.37071108907202,0.396189468706894,NA,0.96818666349562,0.0178348250129078,0.00000000417495008070652,0.694968399566138,NA
"950323","COLD","50%","modGR_Ex",0.569496666065144,0.199642205332005,10.6076904941663,37.9222989106836,27.1656042467009,30,0.056535706116128,0.729415906246364,0.567336740767071,2.82398279416355,NA,3.53125872208843,14.5427189115663,66.842663599418,9.61960685555353,NA,0.0014532477493594,0.0000000000000141641726340796,0.00000000000000000000000000000000989562497749788,0.000000000224977863853416,NA
"950323","NS","50%","modGR_Ex",0.244967007668617,0.0296895609566915,20.3270186787847,37.2397758696733,19.4860544214834,29.3,0.911741608960887,15.9800868983662,5.25155878480752,85.7149072612271,NA,0.0325635691789132,1.27202178611826,7.09118518817803,0.227335653086542,NA,0.974253644131897,0.21382885599936,0.000000102703316977466,0.82181452543705,NA
