"Response","(Intercept)","sp","PC1","PC2","df","logLik","AICc","delta","weight","Status","Full_Model","mod_number"
"delta_Estimate_Tb",-2.86490210676789,"+",NA,NA,4,-36.0727998015051,83.2225226799332,0,0.708794729857513,"Top Model","PC1 + PC2 + sp","1"
"delta_Estimate_Tb",-3.14033168493451,"+",0.160746246980976,NA,5,-35.5270546853767,86.0541093707534,2.8315866908201,0.172047847032604,"Top Model","PC1 + PC2 + sp","2"
"delta_Estimate_Tb",-2.88156244952967,"+",NA,0.0556257816866199,5,-36.0502061042683,87.1004122085367,3.87788952860343,0.101964141714713,"Top Model","PC1 + PC2 + sp","3"
"delta_Estimate_Tb",-3.14347396841887,"+",0.170795092047568,-0.0469966171798912,6,-35.5121267947965,90.6606172259566,7.43809454602335,0.0171932813951691,"Rejected","PC1 + PC2 + sp","4"
"delta_Estimate_To",0.475027596063431,"+",NA,0.6954940622246,5,-32.5119426848094,80.0238853696189,0,0.803712466329112,"Top Model","PC1 + PC2 + sp","5"
"delta_Estimate_To",0.683333333333335,"+",NA,NA,4,-36.6412216282746,84.3593663334723,4.33548096385341,0.0919735553924917,"Top Model","PC1 + PC2 + sp","6"
"delta_Estimate_To",0.431805259236517,"+",0.0281857133591246,0.67855864865972,6,-32.4908426361536,84.6180489086709,4.59416353905196,0.0808147749210702,"Top Model","PC1 + PC2 + sp","7"
"delta_Estimate_To",0.38643553343922,"+",0.173275533396112,NA,5,-36.0442177401928,87.0884354803856,7.06455011076666,0.0234992033573263,"Rejected","PC1 + PC2 + sp","8"
"delta_Estimate_Tc",-0.403950780188082,"+",NA,NA,4,-35.3676345281647,81.8121921332526,0,0.401742081627288,"Top Model","PC1 + PC2 + sp","9"
"delta_Estimate_Tc",0.0741236954771709,"+",-0.279013888966192,NA,5,-33.4521284170263,81.9042568340526,0.0920647007999946,0.383668133913543,"Top Model","PC1 + PC2 + sp","10"
"delta_Estimate_Tc",-0.298550792445204,"+",NA,-0.351910929552241,5,-34.3337059354492,83.6674118708985,1.85521973764592,0.158888138932061,"Top Model","PC1 + PC2 + sp","11"
"delta_Estimate_Tc",0.0599871984878553,"+",-0.233806170204632,-0.211428262465363,6,-33.0637148539922,85.763793344348,3.95160121109542,0.0557016455271076,"Top Model","PC1 + PC2 + sp","12"
"delta_Estimate_ThetaT",-9.29093906672171,"+",NA,NA,4,-72.3752645077656,155.827452092454,0,0.644611332203223,"Top Model","PC1 + PC2 + sp","13"
"delta_Estimate_ThetaT",-10.0437020449301,"+",NA,2.51333539089263,5,-71.5200225116782,158.040045023356,2.21259293090219,0.213225669054258,"Top Model","PC1 + PC2 + sp","14"
"delta_Estimate_ThetaT",-8.26277887752691,"+",-0.600054986136347,NA,5,-72.2436243830822,159.487248766164,3.65979667371008,0.103414916578283,"Top Model","PC1 + PC2 + sp","15"
"delta_Estimate_ThetaT",-8.04229996524994,"+",-1.3051340921274,3.29752649246876,6,-70.9071105154432,161.45058466725,5.6231325747957,0.0387480821642367,"Rejected","PC1 + PC2 + sp","16"
"delta_Estimate_thermal_width",3.21445538041168,"+",-0.439760135947168,NA,5,-37.7353772328319,90.4707544656638,0,0.597695698685093,"Top Model","PC1 + PC2 + sp","17"
"delta_Estimate_thermal_width",2.46095132657981,"+",NA,NA,4,-40.5428456468818,92.1626143706866,1.69185990502282,0.256505936052613,"Top Model","PC1 + PC2 + sp","18"
"delta_Estimate_thermal_width",2.58301165708447,"+",NA,-0.40753671123886,5,-39.7738136923157,94.5476273846314,4.0768729189676,0.0778392108619414,"Top Model","PC1 + PC2 + sp","19"
"delta_Estimate_thermal_width",3.20346116690673,"+",-0.4046012622522,-0.164431645285472,6,-37.5913703198917,94.8191042761469,4.34834981048311,0.0679591544003526,"Top Model","PC1 + PC2 + sp","20"
