"Response","(Intercept)","sp","log_seed_mass","df","logLik","AICc","delta","weight","Status","Full_Model","mod_number"
"delta_Estimate_Tb",-3.37748879573315,"+",NA,4,-30.1876177906375,72.3752355812749,0,0.885245518076333,"Top Model","log_seed_mass + sp","1"
"delta_Estimate_Tb",-3.89251435643061,"+",5.4519727792793,5,-29.8973545790568,76.4613758247802,4.08614024350528,0.114754481923667,"Top Model","log_seed_mass + sp","2"
"delta_Estimate_To",2.48372384181167,"+",-18.8821964838776,5,-27.2501063237721,71.1668793142109,0,0.82190873228371,"Top Model","log_seed_mass + sp","3"
"delta_Estimate_To",0.7,"+",NA,4,-31.1127728558472,74.2255457116943,3.05866639748342,0.17809126771629,"Top Model","log_seed_mass + sp","4"
"delta_Estimate_Tc",-0.179552419805639,"+",NA,4,-26.9938252430426,65.9876504860853,0,0.827071370012093,"Top Model","log_seed_mass + sp","5"
"delta_Estimate_Tc",-0.846198379918615,"+",7.05700047786069,5,-26.2255039349473,69.1176745365612,3.1300240504759,0.172928629987907,"Top Model","log_seed_mass + sp","6"
"delta_Estimate_ThetaT",-3.74279450242728,"+",NA,4,-58.6149205514789,129.229841102958,0,0.528543892502561,"Top Model","log_seed_mass + sp","7"
"delta_Estimate_ThetaT",5.15793355255173,"+",-94.2215897125515,5,-56.3958870645636,129.458440795794,0.228599692836099,0.471456107497439,"Top Model","log_seed_mass + sp","8"
"delta_Estimate_thermal_width",3.19793637592751,"+",NA,4,-30.5992096106385,73.1984192212769,0,0.90969681908879,"Top Model","log_seed_mass + sp","9"
"delta_Estimate_thermal_width",3.04631597651199,"+",1.60502769858142,5,-30.5758149696272,77.818296605921,4.6198773846441,0.0903031809112103,"Top Model","log_seed_mass + sp","10"
